Category,State,Year,Month,Value(cents per KWH),state_year_month
Average retail price of electricity , Alabama ,2017,7,12.53, Alabama 20177
Average retail price of electricity , Alabama ,2017,6,12.79, Alabama 20176
Average retail price of electricity , Alabama ,2017,5,12.73, Alabama 20175
Average retail price of electricity , Alabama ,2017,4,12.71, Alabama 20174
Average retail price of electricity , Alabama ,2017,3,12.82, Alabama 20173
Average retail price of electricity , Alabama ,2017,2,12.97, Alabama 20172
Average retail price of electricity , Alabama ,2017,1,12.11, Alabama 20171
Average retail price of electricity , Alabama ,2016,12,12, Alabama 201612
Average retail price of electricity , Alabama ,2016,11,12.29, Alabama 201611
Average retail price of electricity , Alabama ,2016,10,12.56, Alabama 201610
Average retail price of electricity , Alabama ,2016,9,12.27, Alabama 20169
Average retail price of electricity , Alabama ,2016,8,12.22, Alabama 20168
Average retail price of electricity , Alabama ,2016,7,12.08, Alabama 20167
Average retail price of electricity , Alabama ,2016,6,12.16, Alabama 20166
Average retail price of electricity , Alabama ,2016,5,12.1, Alabama 20165
Average retail price of electricity , Alabama ,2016,4,12.42, Alabama 20164
Average retail price of electricity , Alabama ,2016,3,12.11, Alabama 20163
Average retail price of electricity , Alabama ,2016,2,11.5, Alabama 20162
Average retail price of electricity , Alabama ,2016,1,11.04, Alabama 20161
Average retail price of electricity , Alabama ,2015,12,11.16, Alabama 201512
Average retail price of electricity , Alabama ,2015,11,11.39, Alabama 201511
Average retail price of electricity , Alabama ,2015,10,11.92, Alabama 201510
Average retail price of electricity , Alabama ,2015,9,12.22, Alabama 20159
Average retail price of electricity , Alabama ,2015,8,11.97, Alabama 20158
Average retail price of electricity , Alabama ,2015,7,11.83, Alabama 20157
Average retail price of electricity , Alabama ,2015,6,11.94, Alabama 20156
Average retail price of electricity , Alabama ,2015,5,12.12, Alabama 20155
Average retail price of electricity , Alabama ,2015,4,12.22, Alabama 20154
Average retail price of electricity , Alabama ,2015,3,11.7, Alabama 20153
Average retail price of electricity , Alabama ,2015,2,11.16, Alabama 20152
Average retail price of electricity , Alabama ,2015,1,10.92, Alabama 20151
Average retail price of electricity , Alabama ,2014,12,11.04, Alabama 201412
Average retail price of electricity , Alabama ,2014,11,11.09, Alabama 201411
Average retail price of electricity , Alabama ,2014,10,11.74, Alabama 201410
Average retail price of electricity , Alabama ,2014,9,11.84, Alabama 20149
Average retail price of electricity , Alabama ,2014,8,11.75, Alabama 20148
Average retail price of electricity , Alabama ,2014,7,11.84, Alabama 20147
Average retail price of electricity , Alabama ,2014,6,11.82, Alabama 20146
Average retail price of electricity , Alabama ,2014,5,11.79, Alabama 20145
Average retail price of electricity , Alabama ,2014,4,11.75, Alabama 20144
Average retail price of electricity , Alabama ,2014,3,11.58, Alabama 20143
Average retail price of electricity , Alabama ,2014,2,11.21, Alabama 20142
Average retail price of electricity , Alabama ,2014,1,10.69, Alabama 20141
Average retail price of electricity , Alabama ,2013,12,10.5, Alabama 201312
Average retail price of electricity , Alabama ,2013,11,10.74, Alabama 201311
Average retail price of electricity , Alabama ,2013,10,11.79, Alabama 201310
Average retail price of electricity , Alabama ,2013,9,11.73, Alabama 20139
