Category,State,Year,Month,Value (thousand Megawatthours),state_year_month
Net generation  all solar , Alabama ,2017,7,0, Alabama 20177
Net generation  all solar , Alabama ,2017,6,0, Alabama 20176
Net generation  all solar , Alabama ,2017,5,0, Alabama 20175
Net generation  all solar , Alabama ,2017,4,0, Alabama 20174
Net generation  all solar , Alabama ,2017,3,0, Alabama 20173
Net generation  all solar , Alabama ,2017,2,0, Alabama 20172
Net generation  all solar , Alabama ,2017,1,0, Alabama 20171
Net generation  all solar , Alabama ,2016,12,7.0739, Alabama 201612
Net generation  all solar , Alabama ,2016,11,13.39891, Alabama 201611
Net generation  all solar , Alabama ,2016,10,11.1177, Alabama 201610
Net generation  all solar , Alabama ,2016,9,0.79974, Alabama 20169
Net generation  all solar , Alabama ,2016,8,0.38276, Alabama 20168
Net generation  all solar , Alabama ,2016,7,0.38958, Alabama 20167
Net generation  all solar , Alabama ,2016,6,0.38994, Alabama 20166
Net generation  all solar , Alabama ,2016,5,0.39375, Alabama 20165
Net generation  all solar , Alabama ,2016,4,0.36158, Alabama 20164
Net generation  all solar , Alabama ,2016,3,0.32967, Alabama 20163
Net generation  all solar , Alabama ,2016,2,0.25567, Alabama 20162
Net generation  all solar , Alabama ,2016,1,0.23305, Alabama 20161
Net generation  all solar , Alabama ,2015,12,0.1879, Alabama 201512
Net generation  all solar , Alabama ,2015,11,0.21325, Alabama 201511
Net generation  all solar , Alabama ,2015,10,0.25407, Alabama 201510
Net generation  all solar , Alabama ,2015,9,0.2735, Alabama 20159
Net generation  all solar , Alabama ,2015,8,0.31753, Alabama 20158
Net generation  all solar , Alabama ,2015,7,0.32087, Alabama 20157
Net generation  all solar , Alabama ,2015,6,0.32517, Alabama 20156
Net generation  all solar , Alabama ,2015,5,0.32984, Alabama 20155
Net generation  all solar , Alabama ,2015,4,0.30461, Alabama 20154
Net generation  all solar , Alabama ,2015,3,0.27815, Alabama 20153
Net generation  all solar , Alabama ,2015,2,0.2094, Alabama 20152
Net generation  all solar , Alabama ,2015,1,0.1976, Alabama 20151
Net generation  all solar , Alabama ,2014,12,0.18085, Alabama 201412
Net generation  all solar , Alabama ,2014,11,0.20838, Alabama 201411
Net generation  all solar , Alabama ,2014,10,0.24844, Alabama 201410
Net generation  all solar , Alabama ,2014,9,0.26579, Alabama 20149
Net generation  all solar , Alabama ,2014,8,0.30818, Alabama 20148
Net generation  all solar , Alabama ,2014,7,0.31515, Alabama 20147
Net generation  all solar , Alabama ,2014,6,0.31334, Alabama 20146
Net generation  all solar , Alabama ,2014,5,0.3176, Alabama 20145
Net generation  all solar , Alabama ,2014,4,0.29292, Alabama 20144
Net generation  all solar , Alabama ,2014,3,0.26624, Alabama 20143
Net generation  all solar , Alabama ,2014,2,0.19786, Alabama 20142
Net generation  all solar , Alabama ,2014,1,0.18663, Alabama 20141
Net generation  all solar , Alaska ,2017,7,0.27935, Alaska 20177
Net generation  all solar , Alaska ,2017,6,0.27011, Alaska 20176
Net generation  all solar , Alaska ,2017,5,0.28467, Alaska 20175
Net generation  all solar , Alaska ,2017,4,0.25022, Alaska 20174
Net generation  all solar , Alaska ,2017,3,0.17922, Alaska 20173
Net generation  all solar , Alaska ,2017,2,0.03963, Alaska 20172
Net generation  all solar , Alaska ,2017,1,0.00011, Alaska 20171
Net generation  all solar , Arizona ,2017,7,587.96402, Arizona 20177
Net generation  all solar , Arizona ,2017,6,757.53482, Arizona 20176
Net generation  all solar , Arizona ,2017,5,703.81902, Arizona 20175
Net generation  all solar , Arizona ,2017,4,649.71241, Arizona 20174
Net generation  all solar , Arizona ,2017,3,599.04488, Arizona 20173
Net generation  all solar , Arizona ,2017,2,371.20849, Arizona 20172
Net generation  all solar , Arizona ,2017,1,326.06246, Arizona 20171
Net generation  all solar , Arizona ,2016,12,333.68999, Arizona 201612
Net generation  all solar , Arizona ,2016,11,361.30389, Arizona 201611
Net generation  all solar , Arizona ,2016,10,438.81591, Arizona 201610
Net generation  all solar , Arizona ,2016,9,454.38074, Arizona 20169
Net generation  all solar , Arizona ,2016,8,492.9042, Arizona 20168
Net generation  all solar , Arizona ,2016,7,569.03527, Arizona 20167
Net generation  all solar , Arizona ,2016,6,552.76426, Arizona 20166
Net generation  all solar , Arizona ,2016,5,575.381, Arizona 20165
Net generation  all solar , Arizona ,2016,4,486.14685, Arizona 20164
Net generation  all solar , Arizona ,2016,3,450.6914, Arizona 20163
Net generation  all solar , Arizona ,2016,2,381.95702, Arizona 20162
Net generation  all solar , Arizona ,2016,1,310.77881, Arizona 20161
Net generation  all solar , Arizona ,2015,12,302.21637, Arizona 201512
Net generation  all solar , Arizona ,2015,11,351.27012, Arizona 201511
Net generation  all solar , Arizona ,2015,10,381.62053, Arizona 201510
Net generation  all solar , Arizona ,2015,9,417.76766, Arizona 20159
Net generation  all solar , Arizona ,2015,8,496.46731, Arizona 20158
Net generation  all solar , Arizona ,2015,7,473.55484, Arizona 20157
Net generation  all solar , Arizona ,2015,6,490.44354, Arizona 20156
Net generation  all solar , Arizona ,2015,5,496.99322, Arizona 20155
Net generation  all solar , Arizona ,2015,4,476.82204, Arizona 20154
