Category,Resource,State,Year,Month,Value(thousand tons),state_year_month
Total consumption , coal , Alabama ,2017,7,1858.693, Alabama 20177
Total consumption , coal , Alabama ,2017,6,1489.063, Alabama 20176
Total consumption , coal , Alabama ,2017,5,1310.503, Alabama 20175
Total consumption , coal , Alabama ,2017,4,1130.11, Alabama 20174
Total consumption , coal , Alabama ,2017,3,1271.181, Alabama 20173
Total consumption , coal , Alabama ,2017,2,1295.306, Alabama 20172
Total consumption , coal , Alabama ,2017,1,1336.762, Alabama 20171
Total consumption , coal , Alabama ,2016,12,1468.822, Alabama 201612
Total consumption , coal , Alabama ,2016,11,1389.218, Alabama 201611
Total consumption , coal , Alabama ,2016,10,1579.623, Alabama 201610
Total consumption , coal , Alabama ,2016,9,1744.497, Alabama 20169
Total consumption , coal , Alabama ,2016,8,1919.124, Alabama 20168
Total consumption , coal , Alabama ,2016,7,1914.584, Alabama 20167
Total consumption , coal , Alabama ,2016,6,1589.791, Alabama 20166
Total consumption , coal , Alabama ,2016,5,1214.715, Alabama 20165
Total consumption , coal , Alabama ,2016,4,964.637, Alabama 20164
Total consumption , coal , Alabama ,2016,3,1218.694, Alabama 20163
Total consumption , coal , Alabama ,2016,2,1180.254, Alabama 20162
Total consumption , coal , Alabama ,2016,1,1275.475, Alabama 20161
Total consumption , coal , Alabama ,2015,12,1322.359, Alabama 201512
Total consumption , coal , Alabama ,2015,11,1390.714, Alabama 201511
Total consumption , coal , Alabama ,2015,10,1583.219, Alabama 201510
Total consumption , coal , Alabama ,2015,9,2058.92, Alabama 20159
Total consumption , coal , Alabama ,2015,8,2257.715, Alabama 20158
Total consumption , coal , Alabama ,2015,7,2442.855, Alabama 20157
Total consumption , coal , Alabama ,2015,6,2214.484, Alabama 20156
Total consumption , coal , Alabama ,2015,5,1870.443, Alabama 20155
Total consumption , coal , Alabama ,2015,4,1359.936, Alabama 20154
Total consumption , coal , Alabama ,2015,3,1391.702, Alabama 20153
Total consumption , coal , Alabama ,2015,2,1604.088, Alabama 20152
Total consumption , coal , Alabama ,2015,1,1529.016, Alabama 20151
Total consumption , coal , Alabama ,2014,12,1697.932, Alabama 201412
Total consumption , coal , Alabama ,2014,11,1591.956, Alabama 201411
Total consumption , coal , Alabama ,2014,10,1645.091, Alabama 201410
Total consumption , coal , Alabama ,2014,9,2016.272, Alabama 20149
Total consumption , coal , Alabama ,2014,8,2445.207, Alabama 20148
Total consumption , coal , Alabama ,2014,7,2511.169, Alabama 20147
Total consumption , coal , Alabama ,2014,6,2278.892, Alabama 20146
Total consumption , coal , Alabama ,2014,5,2053.116, Alabama 20145
Total consumption , coal , Alabama ,2014,4,1613.847, Alabama 20144
Total consumption , coal , Alabama ,2014,3,1680.152, Alabama 20143
Total consumption , coal , Alabama ,2014,2,2119.893, Alabama 20142
Total consumption , coal , Alabama ,2014,1,2247.78, Alabama 20141
Total consumption , coal , Alabama ,2013,12,1958.107, Alabama 201312
Total consumption , coal , Alabama ,2013,11,1891.434, Alabama 201311
Total consumption , coal , Alabama ,2013,10,2092.774, Alabama 201310
Total consumption , coal , Alabama ,2013,9,2270.175, Alabama 20139
Total consumption , coal , Alabama ,2013,8,2423.052, Alabama 20138
Total consumption , coal , Alabama ,2013,7,2225.836, Alabama 20137
Total consumption , coal , Alabama ,2013,6,2152.974, Alabama 20136
Total consumption , coal , Alabama ,2013,5,2086.293, Alabama 20135
Total consumption , coal , Alabama ,2013,4,1967.323, Alabama 20134
Total consumption , coal , Alabama ,2013,3,1889.56, Alabama 20133
Total consumption , coal , Alabama ,2013,2,1596.386, Alabama 20132
Total consumption , coal , Alabama ,2013,1,1846.333, Alabama 20131
Total consumption , coal , Alabama ,2012,12,1974.194, Alabama 201212
Total consumption , coal , Alabama ,2012,11,2062.299, Alabama 201211
Total consumption , coal , Alabama ,2012,10,1956.879, Alabama 201210
Total consumption , coal , Alabama ,2012,9,2117.129, Alabama 20129
Total consumption , coal , Alabama ,2012,8,2523.262, Alabama 20128
Total consumption , coal , Alabama ,2012,7,2720.365, Alabama 20127
Total consumption , coal , Alabama ,2012,6,2215.449, Alabama 20126
Total consumption , coal , Alabama ,2012,5,1764.137, Alabama 20125
Total consumption , coal , Alabama ,2012,4,1536.209, Alabama 20124
Total consumption , coal , Alabama ,2012,3,1370.926, Alabama 20123
Total consumption , coal , Alabama ,2012,2,1189.403, Alabama 20122
Total consumption , coal , Alabama ,2012,1,1590.239, Alabama 20121
Total consumption , coal , Alabama ,2011,12,1751.949, Alabama 201112
Total consumption , coal , Alabama ,2011,11,1857.858, Alabama 201111
Total consumption , coal , Alabama ,2011,10,2063.117, Alabama 201110
Total consumption , coal , Alabama ,2011,9,2003.287, Alabama 20119
Total consumption , coal , Alabama ,2011,8,2891.019, Alabama 20118
Total consumption , coal , Alabama ,2011,7,3137.123, Alabama 20117
Total consumption , coal , Alabama ,2011,6,2902.618, Alabama 20116
