Category,Resource,State,Year,Month,Value(thousand Mcf),state_year_month
Total consumption , natural gas , Alabama ,2017,7,42893.952, Alabama 20177
Total consumption , natural gas , Alabama ,2017,6,33357.656, Alabama 20176
Total consumption , natural gas , Alabama ,2017,5,30762.064, Alabama 20175
Total consumption , natural gas , Alabama ,2017,4,29599.447, Alabama 20174
Total consumption , natural gas , Alabama ,2017,3,30229.111, Alabama 20173
Total consumption , natural gas , Alabama ,2017,2,22970.336, Alabama 20172
Total consumption , natural gas , Alabama ,2017,1,25495.524, Alabama 20171
Total consumption , natural gas , Alabama ,2016,12,30858.987, Alabama 201612
Total consumption , natural gas , Alabama ,2016,11,30499.759, Alabama 201611
Total consumption , natural gas , Alabama ,2016,10,31961.939, Alabama 201610
Total consumption , natural gas , Alabama ,2016,9,40587.444, Alabama 20169
Total consumption , natural gas , Alabama ,2016,8,43504.916, Alabama 20168
Total consumption , natural gas , Alabama ,2016,7,44566.291, Alabama 20167
Total consumption , natural gas , Alabama ,2016,6,39282.408, Alabama 20166
Total consumption , natural gas , Alabama ,2016,5,33335.257, Alabama 20165
Total consumption , natural gas , Alabama ,2016,4,26636.009, Alabama 20164
Total consumption , natural gas , Alabama ,2016,3,30763.747, Alabama 20163
Total consumption , natural gas , Alabama ,2016,2,29216.353, Alabama 20162
Total consumption , natural gas , Alabama ,2016,1,33948.682, Alabama 20161
Total consumption , natural gas , Alabama ,2015,12,33320.462, Alabama 201512
Total consumption , natural gas , Alabama ,2015,11,31415.014, Alabama 201511
Total consumption , natural gas , Alabama ,2015,10,31618.026, Alabama 201510
Total consumption , natural gas , Alabama ,2015,9,33205.973, Alabama 20159
Total consumption , natural gas , Alabama ,2015,8,37362.292, Alabama 20158
Total consumption , natural gas , Alabama ,2015,7,39112.83, Alabama 20157
Total consumption , natural gas , Alabama ,2015,6,36718.428, Alabama 20156
Total consumption , natural gas , Alabama ,2015,5,32390.617, Alabama 20155
Total consumption , natural gas , Alabama ,2015,4,24902.333, Alabama 20154
Total consumption , natural gas , Alabama ,2015,3,30383.095, Alabama 20153
Total consumption , natural gas , Alabama ,2015,2,31359.981, Alabama 20152
Total consumption , natural gas , Alabama ,2015,1,35708.548, Alabama 20151
Total consumption , natural gas , Alabama ,2014,12,31210.298, Alabama 201412
Total consumption , natural gas , Alabama ,2014,11,33379.919, Alabama 201411
Total consumption , natural gas , Alabama ,2014,10,30282.165, Alabama 201410
Total consumption , natural gas , Alabama ,2014,9,32492.821, Alabama 20149
Total consumption , natural gas , Alabama ,2014,8,34915.055, Alabama 20148
Total consumption , natural gas , Alabama ,2014,7,30843.23, Alabama 20147
