Category,Resource,State,Year,Month,Value(thousand tons),state_year_month
Total consumption , petroleum coke , California ,2017,7,0, California 20177
Total consumption , petroleum coke , California ,2017,6,0, California 20176
Total consumption , petroleum coke , California ,2017,5,0, California 20175
Total consumption , petroleum coke , California ,2017,4,0, California 20174
Total consumption , petroleum coke , California ,2017,3,0, California 20173
Total consumption , petroleum coke , California ,2017,2,0, California 20172
Total consumption , petroleum coke , California ,2017,1,0, California 20171
Total consumption , petroleum coke , California ,2016,12,0, California 201612
Total consumption , petroleum coke , California ,2016,11,0, California 201611
Total consumption , petroleum coke , California ,2016,10,0, California 201610
Total consumption , petroleum coke , California ,2016,9,0, California 20169
Total consumption , petroleum coke , California ,2016,8,0, California 20168
Total consumption , petroleum coke , California ,2016,7,0, California 20167
Total consumption , petroleum coke , California ,2016,6,0, California 20166
Total consumption , petroleum coke , California ,2016,5,0, California 20165
Total consumption , petroleum coke , California ,2016,4,0, California 20164
Total consumption , petroleum coke , California ,2016,3,0, California 20163
Total consumption , petroleum coke , California ,2016,2,0, California 20162
Total consumption , petroleum coke , California ,2016,1,0, California 20161
Total consumption , petroleum coke , California ,2015,12,0, California 201512
Total consumption , petroleum coke , California ,2015,11,0, California 201511
Total consumption , petroleum coke , California ,2015,10,0, California 201510
Total consumption , petroleum coke , California ,2015,9,0, California 20159
Total consumption , petroleum coke , California ,2015,8,0, California 20158
Total consumption , petroleum coke , California ,2015,7,0, California 20157
Total consumption , petroleum coke , California ,2015,6,0, California 20156
Total consumption , petroleum coke , California ,2015,5,0, California 20155
Total consumption , petroleum coke , California ,2015,4,0, California 20154
Total consumption , petroleum coke , California ,2015,3,0, California 20153
Total consumption , petroleum coke , California ,2015,2,0, California 20152
Total consumption , petroleum coke , California ,2015,1,0, California 20151
Total consumption , petroleum coke , California ,2014,12,0, California 201412
Total consumption , petroleum coke , California ,2014,11,0, California 201411
Total consumption , petroleum coke , California ,2014,10,0.009, California 201410
Total consumption , petroleum coke , California ,2014,9,1.699, California 20149
Total consumption , petroleum coke , California ,2014,8,2.003, California 20148
Total consumption , petroleum coke , California ,2014,7,1.629, California 20147
Total consumption , petroleum coke , California ,2014,6,2.191, California 20146
Total consumption , petroleum coke , California ,2014,5,0.994, California 20145
Total consumption , petroleum coke , California ,2014,4,0, California 20144
Total consumption , petroleum coke , California ,2014,3,0, California 20143
Total consumption , petroleum coke , California ,2014,2,0, California 20142
Total consumption , petroleum coke , California ,2014,1,0, California 20141
Total consumption , petroleum coke , California ,2013,12,0, California 201312
Total consumption , petroleum coke , California ,2013,11,0, California 201311
Total consumption , petroleum coke , California ,2013,10,0.4, California 201310
Total consumption , petroleum coke , California ,2013,9,1.773, California 20139
Total consumption , petroleum coke , California ,2013,8,1.901, California 20138
Total consumption , petroleum coke , California ,2013,7,1.593, California 20137
Total consumption , petroleum coke , California ,2013,6,2.591, California 20136
Total consumption , petroleum coke , California ,2013,5,1.242, California 20135
Total consumption , petroleum coke , California ,2013,4,0, California 20134
Total consumption , petroleum coke , California ,2013,3,0, California 20133
Total consumption , petroleum coke , California ,2013,2,0, California 20132
Total consumption , petroleum coke , California ,2013,1,0, California 20131
Total consumption , petroleum coke , California ,2012,12,null, California 201212
Total consumption , petroleum coke , California ,2012,11,null, California 201211
Total consumption , petroleum coke , California ,2012,10,null, California 201210
Total consumption , petroleum coke , California ,2012,9,null, California 20129
Total consumption , petroleum coke , California ,2012,8,null, California 20128
Total consumption , petroleum coke , California ,2012,7,null, California 20127
Total consumption , petroleum coke , California ,2012,6,null, California 20126
Total consumption , petroleum coke , California ,2012,5,null, California 20125
Total consumption , petroleum coke , California ,2012,4,0.794, California 20124
Total consumption , petroleum coke , California ,2012,3,null, California 20123
Total consumption , petroleum coke , California ,2012,2,15.305, California 20122
Total consumption , petroleum coke , California ,2012,1,26.206, California 20121
Total consumption , petroleum coke , California ,2011,12,23.174, California 201112
Total consumption , petroleum coke , California ,2011,11,22.086, California 201111
Total consumption , petroleum coke , California ,2011,10,30.748, California 201110
Total consumption , petroleum coke , California ,2011,9,28.821, California 20119
Total consumption , petroleum coke , California ,2011,8,35.3, California 20118
Total consumption , petroleum coke , California ,2011,7,37.532, California 20117
Total consumption , petroleum coke , California ,2011,6,32.112, California 20116
Total consumption , petroleum coke , California ,2011,5,34.123, California 20115
Total consumption , petroleum coke , California ,2011,4,32.525, California 20114
Total consumption , petroleum coke , California ,2011,3,37.823, California 20113
Total consumption , petroleum coke , California ,2011,2,29.222, California 20112
Total consumption , petroleum coke , California ,2011,1,26.056, California 20111
Total consumption , petroleum coke , California ,2010,12,33.124, California 201012
Total consumption , petroleum coke , California ,2010,11,38.446, California 201011
Total consumption , petroleum coke , California ,2010,10,34.968, California 201010
Total consumption , petroleum coke , California ,2010,9,34.853, California 20109
Total consumption , petroleum coke , California ,2010,8,34.834, California 20108
Total consumption , petroleum coke , California ,2010,7,32.815, California 20107
Total consumption , petroleum coke , California ,2010,6,38.867, California 20106
Total consumption , petroleum coke , California ,2010,5,34.599, California 20105
Total consumption , petroleum coke , California ,2010,4,34.05, California 20104
Total consumption , petroleum coke , California ,2010,3,40.599, California 20103
Total consumption , petroleum coke , California ,2010,2,35.204, California 20102
Total consumption , petroleum coke , California ,2010,1,39.311, California 20101
Total consumption , petroleum coke , California ,2009,12,50.596, California 200912
Total consumption , petroleum coke , California ,2009,11,48.675, California 200911
Total consumption , petroleum coke , California ,2009,10,47.882, California 200910
Total consumption , petroleum coke , California ,2009,9,49.568, California 20099
Total consumption , petroleum coke , California ,2009,8,48.742, California 20098
Total consumption , petroleum coke , California ,2009,7,54.775, California 20097
Total consumption , petroleum coke , California ,2009,6,50.969, California 20096
Total consumption , petroleum coke , California ,2009,5,44.991, California 20095
Total consumption , petroleum coke , California ,2009,4,47.744, California 20094
Total consumption , petroleum coke , California ,2009,3,44.888, California 20093
Total consumption , petroleum coke , California ,2009,2,46.728, California 20092
Total consumption , petroleum coke , California ,2009,1,52.796, California 20091
Total consumption , petroleum coke , California ,2008,12,59.949, California 200812
Total consumption , petroleum coke , California ,2008,11,55.974, California 200811
Total consumption , petroleum coke , California ,2008,10,45.256, California 200810
Total consumption , petroleum coke , California ,2008,9,48.623, California 20089
Total consumption , petroleum coke , California ,2008,8,48.105, California 20088
Total consumption , petroleum coke , California ,2008,7,49.925, California 20087
Total consumption , petroleum coke , California ,2008,6,48.27, California 20086
Total consumption , petroleum coke , California ,2008,5,41.884, California 20085
Total consumption , petroleum coke , California ,2008,4,54.127, California 20084
Total consumption , petroleum coke , California ,2008,3,50.714, California 20083
Total consumption , petroleum coke , California ,2008,2,52.201, California 20082
Total consumption , petroleum coke , California ,2008,1,56.022, California 20081
Total consumption , petroleum coke , California ,2007,12,59.251, California 200712
Total consumption , petroleum coke , California ,2007,11,59.169, California 200711
Total consumption , petroleum coke , California ,2007,10,56.826, California 200710
Total consumption , petroleum coke , California ,2007,9,64.378, California 20079
Total consumption , petroleum coke , California ,2007,8,67.045, California 20078
Total consumption , petroleum coke , California ,2007,7,66.826, California 20077
Total consumption , petroleum coke , California ,2007,6,64.18, California 20076
Total consumption , petroleum coke , California ,2007,5,52.992, California 20075
Total consumption , petroleum coke , California ,2007,4,56.191, California 20074
Total consumption , petroleum coke , California ,2007,3,51.567, California 20073
Total consumption , petroleum coke , California ,2007,2,50.923, California 20072
Total consumption , petroleum coke , California ,2007,1,61.982, California 20071
Total consumption , petroleum coke , California ,2006,12,58.21117, California 200612
Total consumption , petroleum coke , California ,2006,11,52.05995, California 200611
Total consumption , petroleum coke , California ,2006,10,52.99162, California 200610
Total consumption , petroleum coke , California ,2006,9,60.8263, California 20069
Total consumption , petroleum coke , California ,2006,8,66.06104, California 20068
Total consumption , petroleum coke , California ,2006,7,70.99472, California 20067
Total consumption , petroleum coke , California ,2006,6,60.31519, California 20066
Total consumption , petroleum coke , California ,2006,5,48.34997, California 20065
Total consumption , petroleum coke , California ,2006,4,59.94995, California 20064
Total consumption , petroleum coke , California ,2006,3,61.81763, California 20063
Total consumption , petroleum coke , California ,2006,2,54.39131, California 20062
Total consumption , petroleum coke , California ,2006,1,65.6602, California 20061
Total consumption , petroleum coke , California ,2005,12,65.04697, California 200512
Total consumption , petroleum coke , California ,2005,11,58.72681, California 200511
Total consumption , petroleum coke , California ,2005,10,65.5488, California 200510
Total consumption , petroleum coke , California ,2005,9,70.30738, California 20059
