1,Bitcoin,BTC,"$92,050,585,126 ","$5,536.84 ","16,625,112","$1,854,650,000 ",0.32%,-3.04%,21.05%
2,Ethereum,ETH,"$31,358,236,740 ",$329.67 ,"95,120,945","$641,091,000 ",0.29%,-4.20%,6.19%
3,Ripple,XRP,"$10,242,954,586 ",$0.27 ,"38,531,538,922 *","$265,662,000 ",-0.17%,1.49%,0.83%
4,Bitcoin Cash,BCH,"$5,191,901,709 ",$310.86 ,"16,701,575","$142,923,000 ",0.09%,-3.61%,-11.08%
5,Litecoin,LTC,"$3,350,098,018 ",$62.75 ,"53,389,207","$431,530,000 ",0.15%,-2.83%,17.28%
6,Dash,DASH,"$2,294,621,127 ",$301.00 ,"7,623,250","$42,996,500 ",0.33%,-4.79%,-1.93%
7,NEM,XEM,"$1,827,117,000 ",$0.20 ,"8,999,999,999 *","$2,828,730 ",-0.04%,-2.81%,1.74%
8,Monero,XMR,"$1,397,755,940 ",$91.82 ,"15,222,385","$42,025,500 ",0.12%,-4.87%,1.60%
9,NEO,NEO,"$1,368,640,000 ",$27.37 ,"50,000,000 *","$31,950,200 ",-0.16%,-3.07%,-17.24%
10,BitConnect,BCC,"$1,357,536,615 ",$189.14 ,"7,177,569","$9,977,110 ",0.30%,-3.08%,28.46%
11,IOTA,MIOTA,"$1,180,641,622 ",$0.42 ,"2,779,530,283 *","$8,024,480 ",-0.05%,-8.28%,-16.91%
12,Ethereum Classic,ETC,"$1,146,221,836 ",$11.88 ,"96,492,254","$52,240,000 ",0.47%,-3.79%,-2.82%
13,OmiseGO,OMG,"$797,637,894 ",$8.11 ,"98,312,024 *","$22,586,300 ",3.20%,0.20%,1.30%
14,Cardano,ADA,"$795,395,855 ",$0.03 ,"25,927,070,538 *","$7,837,530 ",4.44%,-9.97%,43.03%
15,Qtum,QTUM,"$604,779,500 ",$10.25 ,"59,000,000 *","$21,507,600 ",-0.20%,-4.09%,-11.55%
16,Zcash,ZEC,"$550,880,424 ",$229.04 ,"2,405,119","$24,771,800 ",-0.12%,-4.52%,-6.89%
17,Lisk,LSK,"$541,194,699 ",$4.76 ,"113,577,300 *","$9,125,620 ",1.29%,2.39%,0.22%
