SETTLEMENTDATE,TOTALDEMAND,RRP,Usage
7/1/2016 0:30,1534.71,125.3,0.00011750
7/1/2016 1:00,1415.01,127.9,0.00010500
7/1/2016 1:30,1308.47,127.3,0.00010250
7/1/2016 2:00,1233.06,127.1,0.00010000
7/1/2016 2:30,1152.85,128.2,0.00009875
7/1/2016 3:00,1135.92,129.7,0.00009750
7/1/2016 3:30,1075.09,121.1,0.00009625
7/1/2016 4:00,1088.56,120,0.00009500
7/1/2016 4:30,1067.17,122.9,0.00009625
7/1/2016 5:00,1070.78,125.6,0.00009750
7/1/2016 5:30,1083.93,122.7,0.00011500
7/1/2016 6:00,1147.53,122.2,0.00013250
7/1/2016 6:30,1227.92,120.8,0.00016250
7/1/2016 7:00,1402,121.6,0.00019250
7/1/2016 7:30,1537.39,121,0.00020875
7/1/2016 8:00,1673.57,124.2,0.00022500
7/1/2016 8:30,1809.48,121.1,0.00022625
7/1/2016 9:00,1799.48,115,0.00022750
7/1/2016 9:30,1770.37,110.4,0.00021875
7/1/2016 10:00,1759.37,111.6,0.00021000
7/1/2016 10:30,1690.5,113.9,0.00020750
7/1/2016 11:00,1660.17,119.2,0.00020500
7/1/2016 11:30,1580.15,122.2,0.00021500
7/1/2016 12:00,1528.39,119.7,0.00022500
7/1/2016 12:30,1535.31,118.3,0.00021250
7/1/2016 13:00,1536.74,119.4,0.00020000
7/1/2016 13:30,1539.51,121.2,0.00019750
7/1/2016 14:00,1557.8,122.2,0.00019500
7/1/2016 14:30,1566.01,117,0.00019625
7/1/2016 15:00,1545.5,111.6,0.00019750
7/1/2016 15:30,1576.53,109.2,0.00022125
7/1/2016 16:00,1564.29,110.4,0.00024500
7/1/2016 16:30,1618.56,110.9,0.00027000
7/1/2016 17:00,1664.43,117.4,0.00029500
7/1/2016 17:30,1744.25,118.4,0.00029750
7/1/2016 18:00,1820.55,117.5,0.00030000
7/1/2016 18:30,1958.91,118.4,0.00030000
7/1/2016 19:00,1969.82,118.2,0.00030000
7/1/2016 19:30,1876.33,117.9,0.00029750
7/1/2016 20:00,1858.62,117.5,0.00029500
7/1/2016 20:30,1815.74,115.8,0.00029000
7/1/2016 21:00,1759.35,112.1,0.00028500
7/1/2016 21:30,1745.83,106.9,0.00027000
7/1/2016 22:00,1692.84,105,0.00025500
7/1/2016 22:30,1596.52,107.4,0.00021250
7/1/2016 23:00,1530.14,117.9,0.00017000
7/1/2016 23:30,1455.32,117.3,0.00015000
7/2/2016 0:00,1670.55,116,0.00013000
7/2/2016 0:30,1568.89,115.6,0.00011750
7/2/2016 1:00,1437.38,116.5,0.00010500
7/2/2016 1:30,1363.42,114.2,0.00010250
7/2/2016 2:00,1250.34,113.9,0.00010000
7/2/2016 2:30,1182.39,109.6,0.00009875
7/2/2016 3:00,1125.08,109.1,0.00009750
7/2/2016 3:30,1083.9,108.1,0.00009625
7/2/2016 4:00,1034.9,109.6,0.00009500
7/2/2016 4:30,1012.81,110.4,0.00009625
7/2/2016 5:00,1022.13,117.1,0.00009750
7/2/2016 5:30,1027.26,117.6,0.00011500
7/2/2016 6:00,1033.85,117.1,0.00013250
7/2/2016 6:30,1062.23,115.8,0.00016250
7/2/2016 7:00,1127.54,115.6,0.00019250
7/2/2016 7:30,1184.67,111.4,0.00020875
7/2/2016 8:00,1282.01,115.6,0.00022500
7/2/2016 8:30,1345.09,114.8,0.00022625
7/2/2016 9:00,1386.81,112.1,0.00022750
7/2/2016 9:30,1418.21,109.1,0.00021875
7/2/2016 10:00,1429.55,108.7,0.00021000
7/2/2016 10:30,1371.23,111.5,0.00020750
7/2/2016 11:00,1325.98,117.3,0.00020500
7/2/2016 11:30,1266.71,115.6,0.00021500
7/2/2016 12:00,1284.24,114.1,0.00022500
7/2/2016 12:30,1258.79,113.4,0.00021250
7/2/2016 13:00,1224.36,112.9,0.00020000
7/2/2016 13:30,1208.86,112.5,0.00019750
7/2/2016 14:00,1186.74,108.7,0.00019500
7/2/2016 14:30,1192.49,109.2,0.00019625
7/2/2016 15:00,1208.75,105.6,0.00019750
7/2/2016 15:30,1214.48,102.8,0.00022125
7/2/2016 16:00,1278.21,103.4,0.00024500
7/2/2016 16:30,1327.75,108.9,0.00027000
7/2/2016 17:00,1393.26,114.4,0.00029500
7/2/2016 17:30,1534.13,111,0.00029750
7/2/2016 18:00,1700.1,111.8,0.00030000
7/2/2016 18:30,1784.91,107.9,0.00030000
7/2/2016 19:00,1794.87,108.1,0.00030000
7/2/2016 19:30,1727.8,109.9,0.00029750
7/2/2016 20:00,1725.37,111.9,0.00029500
7/2/2016 20:30,1666.07,102.5,0.00029000
7/2/2016 21:00,1626.96,97.7,0.00028500
7/2/2016 21:30,1614.29,98.2,0.00027000
7/2/2016 22:00,1545.29,98.2,0.00025500
7/2/2016 22:30,1502.78,102,0.00021250
7/2/2016 23:00,1483.28,104,0.00017000
7/2/2016 23:30,1428.94,108.5,0.00015000
7/3/2016 0:00,1691.82,109.1,0.00013000
7/3/2016 0:30,1577.89,108.1,0.00011750
7/3/2016 1:00,1476.11,112.4,0.00010500
7/3/2016 1:30,1357.11,105.9,0.00010250
7/3/2016 2:00,1245.92,110.9,0.00010000
7/3/2016 2:30,1166.65,106.1,0.00009875
7/3/2016 3:00,1134.68,106.4,0.00009750
7/3/2016 3:30,1131.45,105.7,0.00009625
7/3/2016 4:00,1097.29,101.9,0.00009500
7/3/2016 4:30,1060.01,110.1,0.00009625
7/3/2016 5:00,1042.05,115.7,0.00009750
7/3/2016 5:30,1044.28,110.7,0.00011500
7/3/2016 6:00,1046.36,110.6,0.00013250
7/3/2016 6:30,1056.63,110.8,0.00016250
7/3/2016 7:00,1066.57,109.6,0.00019250
7/3/2016 7:30,1094.16,100.1,0.00020875
7/3/2016 8:00,1137.12,98.9,0.00022500
7/3/2016 8:30,1190.74,93,0.00022625
7/3/2016 9:00,1237.27,91.6,0.00022750
7/3/2016 9:30,1259.97,92,0.00021875
7/3/2016 10:00,1267.34,90.3,0.00021000
7/3/2016 10:30,1208.4,94.1,0.00020750
7/3/2016 11:00,1143.19,94.4,0.00020500
7/3/2016 11:30,1067.42,93.3,0.00021500
7/3/2016 12:00,1018.82,99.4,0.00022500
7/3/2016 12:30,976.73,94.6,0.00021250
7/3/2016 13:00,933.62,96.6,0.00020000
7/3/2016 13:30,982.36,93.9,0.00019750
7/3/2016 14:00,987.63,95.8,0.00019500
7/3/2016 14:30,1031.6,90.6,0.00019625
7/3/2016 15:00,1036.86,87.3,0.00019750
7/3/2016 15:30,1096.47,86.2,0.00022125
7/3/2016 16:00,1165.04,80.9,0.00024500
7/3/2016 16:30,1257.03,84.5,0.00027000
7/3/2016 17:00,1358.93,86.4,0.00029500
7/3/2016 17:30,1497.39,91.3,0.00029750
7/3/2016 18:00,1638.76,95.6,0.00030000
7/3/2016 18:30,1803.61,91.8,0.00030000
7/3/2016 19:00,1851.33,93.5,0.00030000
7/3/2016 19:30,1830.63,86.9,0.00029750
7/3/2016 20:00,1781.01,89.6,0.00029500
7/3/2016 20:30,1750.95,82.7,0.00029000
7/3/2016 21:00,1679.79,81.4,0.00028500
7/3/2016 21:30,1643.88,77.3,0.00027000
7/3/2016 22:00,1563.12,80.3,0.00025500
7/3/2016 22:30,1488.72,86.1,0.00021250
7/3/2016 23:00,1413.75,81.4,0.00017000
7/3/2016 23:30,1373.72,84.7,0.00015000
7/4/2016 0:00,1603.43,81.8,0.00013000
7/4/2016 0:30,1480.55,82.5,0.00011750
7/4/2016 1:00,1391.26,83.1,0.00010500
7/4/2016 1:30,1286.69,81.9,0.00010250
7/4/2016 2:00,1182.58,78.7,0.00010000
7/4/2016 2:30,1130.26,75.8,0.00009875
7/4/2016 3:00,1077.05,72.3,0.00009750
7/4/2016 3:30,1037,70,0.00009625
7/4/2016 4:00,1012.47,71.6,0.00009500
7/4/2016 4:30,1007.91,76.3,0.00009625
7/4/2016 5:00,1015.52,77.5,0.00009750
7/4/2016 5:30,1041.31,78.2,0.00011500
7/4/2016 6:00,1104.5,78.7,0.00013250
7/4/2016 6:30,1193.41,79.1,0.00016250
7/4/2016 7:00,1297.87,77.6,0.00019250
7/4/2016 7:30,1440.42,77.8,0.00020875
7/4/2016 8:00,1560.76,81.4,0.00022500
7/4/2016 8:30,1698.48,76.6,0.00022625
7/4/2016 9:00,1753.38,72,0.00022750
7/4/2016 9:30,1764.9,69.7,0.00021875
7/4/2016 10:00,1778.04,72.6,0.00021000
7/4/2016 10:30,1736.56,76.7,0.00020750
7/4/2016 11:00,1729.86,74.6,0.00020500
7/4/2016 11:30,1723.33,75.1,0.00021500
7/4/2016 12:00,1752.16,76.7,0.00022500
7/4/2016 12:30,1738.64,76.4,0.00021250
7/4/2016 13:00,1728.83,77.2,0.00020000
7/4/2016 13:30,1744.64,71.8,0.00019750
7/4/2016 14:00,1758.3,78.1,0.00019500
7/4/2016 14:30,1745.19,71.8,0.00019625
7/4/2016 15:00,1756.21,68.6,0.00019750
7/4/2016 15:30,1759.37,68.9,0.00022125
7/4/2016 16:00,1756.08,66.4,0.00024500
7/4/2016 16:30,1774.56,72.7,0.00027000
7/4/2016 17:00,1805.62,71.4,0.00029500
7/4/2016 17:30,1892.72,72.8,0.00029750
7/4/2016 18:00,2022.21,73.4,0.00030000
7/4/2016 18:30,2132.46,73.9,0.00030000
7/4/2016 19:00,2151.82,73.2,0.00030000
7/4/2016 19:30,2117.4,72.2,0.00029750
7/4/2016 20:00,2080.69,73.8,0.00029500
7/4/2016 20:30,2089.55,70.3,0.00029000
7/4/2016 21:00,2010.65,69.6,0.00028500
7/4/2016 21:30,1905.65,65.4,0.00027000
7/4/2016 22:00,1846.95,69.7,0.00025500
7/4/2016 22:30,1708.4,71.6,0.00021250
7/4/2016 23:00,1574.94,72.9,0.00017000
7/4/2016 23:30,1486.09,70.1,0.00015000
7/5/2016 0:00,1688.32,70.8,0.00013000
7/5/2016 0:30,1559.37,70.5,0.00011750
7/5/2016 1:00,1466.92,71.4,0.00010500
7/5/2016 1:30,1376.94,72.3,0.00010250
7/5/2016 2:00,1282.25,73.4,0.00010000
7/5/2016 2:30,1223.83,73.8,0.00009875
7/5/2016 3:00,1181.22,66.6,0.00009750
7/5/2016 3:30,1165.46,63.3,0.00009625
7/5/2016 4:00,1121.99,223,0.00009500
7/5/2016 4:30,1106.61,221.3,0.00009625
7/5/2016 5:00,1114.75,220.4,0.00009750
7/5/2016 5:30,1114.05,214.2,0.00011500
7/5/2016 6:00,1147.1,215.8,0.00013250
7/5/2016 6:30,1231.8,206.1,0.00016250
7/5/2016 7:00,1341.75,205.7,0.00019250
7/5/2016 7:30,1476,204.4,0.00020875
7/5/2016 8:00,1612.42,211.8,0.00022500
7/5/2016 8:30,1714.53,210.2,0.00022625
7/5/2016 9:00,1745.26,208.5,0.00022750
7/5/2016 9:30,1726.03,210.7,0.00021875
7/5/2016 10:00,1675.03,214.2,0.00021000
7/5/2016 10:30,1634.47,213.1,0.00020750
7/5/2016 11:00,1599.28,209,0.00020500
7/5/2016 11:30,1560.92,207.1,0.00021500
7/5/2016 12:00,1513.73,200.5,0.00022500
7/5/2016 12:30,1511.23,198.1,0.00021250
7/5/2016 13:00,1514.17,194.2,0.00020000
7/5/2016 13:30,1509.47,191.1,0.00019750
7/5/2016 14:00,1479.32,200.4,0.00019500
7/5/2016 14:30,1479.31,203.6,0.00019625
7/5/2016 15:00,1499.68,203.1,0.00019750
7/5/2016 15:30,1515.35,206.7,0.00022125
7/5/2016 16:00,1538.74,209.2,0.00024500
7/5/2016 16:30,1628.09,207.6,0.00027000
7/5/2016 17:00,1705.87,199.9,0.00029500
7/5/2016 17:30,1839.92,193.5,0.00029750
7/5/2016 18:00,1976.96,193.8,0.00030000
7/5/2016 18:30,2076.9,190.5,0.00030000
7/5/2016 19:00,2103.13,190.9,0.00030000
7/5/2016 19:30,2066.6,184.6,0.00029750
7/5/2016 20:00,2022.39,197,0.00029500
7/5/2016 20:30,1995.14,200.3,0.00029000
7/5/2016 21:00,1942.99,198,0.00028500
7/5/2016 21:30,1884.32,205.7,0.00027000
7/5/2016 22:00,1781,207.3,0.00025500
7/5/2016 22:30,1658.66,204.7,0.00021250
7/5/2016 23:00,1555.78,201.7,0.00017000
7/5/2016 23:30,1475.03,182.9,0.00015000
7/6/2016 0:00,1688.86,179.1,0.00013000
7/6/2016 0:30,1574.73,178.8,0.00011750
7/6/2016 1:00,1477.74,174.9,0.00010500
7/6/2016 1:30,1387.35,180.4,0.00010250
7/6/2016 2:00,1300.71,182.7,0.00010000
7/6/2016 2:30,1244.11,178.6,0.00009875
7/6/2016 3:00,1188.54,184,0.00009750
7/6/2016 3:30,1122.63,186.2,0.00009625
7/6/2016 4:00,1086.76,192,0.00009500
7/6/2016 4:30,1071.17,184.4,0.00009625
7/6/2016 5:00,1092.41,184.5,0.00009750
7/6/2016 5:30,1092.27,184.5,0.00011500
7/6/2016 6:00,1129.17,178.8,0.00013250
7/6/2016 6:30,1161.17,175,0.00016250
7/6/2016 7:00,1306.29,171.2,0.00019250
7/6/2016 7:30,1475.27,170.6,0.00020875
7/6/2016 8:00,1634.15,171,0.00022500
7/6/2016 8:30,1758.5,178.2,0.00022625
7/6/2016 9:00,1785.2,173.4,0.00022750
7/6/2016 9:30,1761.01,190.7,0.00021875
7/6/2016 10:00,1689.24,194.4,0.00021000
7/6/2016 10:30,1625.86,181,0.00020750
7/6/2016 11:00,1568.62,184.3,0.00020500
7/6/2016 11:30,1559.95,176.4,0.00021500
7/6/2016 12:00,1530.14,179.7,0.00022500
7/6/2016 12:30,1530.77,174.4,0.00021250
7/6/2016 13:00,1530.55,180.4,0.00020000
7/6/2016 13:30,1503.85,178.9,0.00019750
7/6/2016 14:00,1515.15,179.3,0.00019500
7/6/2016 14:30,1539.72,182,0.00019625
7/6/2016 15:00,1554.7,183.4,0.00019750
7/6/2016 15:30,1577.79,184.2,0.00022125
7/6/2016 16:00,1571.62,189.2,0.00024500
7/6/2016 16:30,1665.38,180.2,0.00027000
7/6/2016 17:00,1757.41,176.1,0.00029500
7/6/2016 17:30,1824.12,174.4,0.00029750
7/6/2016 18:00,1935.43,167.7,0.00030000
7/6/2016 18:30,2042.35,165.4,0.00030000
7/6/2016 19:00,2069.77,164.2,0.00030000
7/6/2016 19:30,2072.57,160.4,0.00029750
7/6/2016 20:00,2028.49,165.7,0.00029500
7/6/2016 20:30,2005.9,161,0.00029000
7/6/2016 21:00,1966.33,156.5,0.00028500
7/6/2016 21:30,1922.59,166.3,0.00027000
7/6/2016 22:00,1866.81,167.8,0.00025500
7/6/2016 22:30,1792.45,166.4,0.00021250
7/6/2016 23:00,1675.99,167.9,0.00017000
7/6/2016 23:30,1610.13,163,0.00015000
7/7/2016 0:00,1808,161.2,0.00013000
7/7/2016 0:30,1682.06,161.2,0.00011750
7/7/2016 1:00,1569.92,157.6,0.00010500
7/7/2016 1:30,1482.14,162.7,0.00010250
7/7/2016 2:00,1393.54,167,0.00010000
7/7/2016 2:30,1312.87,168.5,0.00009875
7/7/2016 3:00,1261.58,173.4,0.00009750
7/7/2016 3:30,1224.42,170.9,0.00009625
7/7/2016 4:00,1209.82,179.7,0.00009500
7/7/2016 4:30,1192.85,177,0.00009625
7/7/2016 5:00,1204.02,176.1,0.00009750
7/7/2016 5:30,1214.88,170.2,0.00011500
7/7/2016 6:00,1279.52,173.1,0.00013250
7/7/2016 6:30,1363.75,169.3,0.00016250
7/7/2016 7:00,1490.35,173.9,0.00019250
7/7/2016 7:30,1658.51,162.3,0.00020875
7/7/2016 8:00,1784.47,165.5,0.00022500
7/7/2016 8:30,1917.89,166.4,0.00022625
7/7/2016 9:00,1919.83,170.6,0.00022750
7/7/2016 9:30,1890.6,173.2,0.00021875
7/7/2016 10:00,1794.14,178.5,0.00021000
7/7/2016 10:30,1678.39,168,0.00020750
7/7/2016 11:00,1619.28,175.5,0.00020500
7/7/2016 11:30,1583.83,173.8,0.00021500
7/7/2016 12:00,1580.75,159,0.00022500
7/7/2016 12:30,1584.97,155.5,0.00021250
7/7/2016 13:00,1561.47,152.7,0.00020000
7/7/2016 13:30,1565.48,155.7,0.00019750
7/7/2016 14:00,1604.83,150.5,0.00019500
7/7/2016 14:30,1632.3,158.2,0.00019625
7/7/2016 15:00,1634.24,154.4,0.00019750
7/7/2016 15:30,1576.67,158.4,0.00022125
7/7/2016 16:00,1585.86,158.6,0.00024500
7/7/2016 16:30,1698.92,153.5,0.00027000
7/7/2016 17:00,1768.37,150.2,0.00029500
7/7/2016 17:30,1871.18,146,0.00029750
7/7/2016 18:00,2008.26,149.9,0.00030000
7/7/2016 18:30,2151.48,145.8,0.00030000
7/7/2016 19:00,2159.21,146,0.00030000
7/7/2016 19:30,2139.54,150.5,0.00029750
7/7/2016 20:00,2110.14,150.2,0.00029500
7/7/2016 20:30,2088.85,149.2,0.00029000
7/7/2016 21:00,2042.02,153.1,0.00028500
7/7/2016 21:30,1997.63,160.5,0.00027000
7/7/2016 22:00,1909.39,159.4,0.00025500
7/7/2016 22:30,1803.06,154.7,0.00021250
7/7/2016 23:00,1714.27,153,0.00017000
7/7/2016 23:30,1645.91,143.8,0.00015000
7/8/2016 0:00,1852.05,144.1,0.00013000
7/8/2016 0:30,1716.39,136.4,0.00011750
7/8/2016 1:00,1653,136.1,0.00010500
7/8/2016 1:30,1529.91,140.8,0.00010250
7/8/2016 2:00,1413.75,137.4,0.00010000
7/8/2016 2:30,1366.97,137.4,0.00009875
7/8/2016 3:00,1316.75,130.8,0.00009750
7/8/2016 3:30,1271.2,140.6,0.00009625
7/8/2016 4:00,1252.23,136.2,0.00009500
7/8/2016 4:30,1224.34,134.6,0.00009625
7/8/2016 5:00,1250.94,138.3,0.00009750
7/8/2016 5:30,1254.79,129,0.00011500
7/8/2016 6:00,1299.33,127.5,0.00013250
7/8/2016 6:30,1396.08,125.6,0.00016250
7/8/2016 7:00,1522.45,122.9,0.00019250
7/8/2016 7:30,1688.71,126.5,0.00020875
7/8/2016 8:00,1828.79,127.1,0.00022500
7/8/2016 8:30,1936.26,127.3,0.00022625
7/8/2016 9:00,1941.23,128.4,0.00022750
7/8/2016 9:30,1896.01,126,0.00021875
7/8/2016 10:00,1828.2,127.9,0.00021000
7/8/2016 10:30,1716.83,129.5,0.00020750
7/8/2016 11:00,1620.59,128.8,0.00020500
7/8/2016 11:30,1528.94,122.1,0.00021500
7/8/2016 12:00,1501.88,121.6,0.00022500
7/8/2016 12:30,1549.62,118.3,0.00021250
