Category,State,Year,Month,Value(thousand megawatthours),state_year_month
Net generation small-scale solar photovoltaic , Alabama ,2017,7,0, Alabama 20177
Net generation small-scale solar photovoltaic , Alabama ,2017,6,0, Alabama 20176
Net generation small-scale solar photovoltaic , Alabama ,2017,5,0, Alabama 20175
Net generation small-scale solar photovoltaic , Alabama ,2017,4,0, Alabama 20174
Net generation small-scale solar photovoltaic , Alabama ,2017,3,0, Alabama 20173
Net generation small-scale solar photovoltaic , Alabama ,2017,2,0, Alabama 20172
Net generation small-scale solar photovoltaic , Alabama ,2017,1,0, Alabama 20171
Net generation small-scale solar photovoltaic , Alabama ,2016,12,0.03337, Alabama 201612
Net generation small-scale solar photovoltaic , Alabama ,2016,11,0.03713, Alabama 201611
Net generation small-scale solar photovoltaic , Alabama ,2016,10,0.04266, Alabama 201610
Net generation small-scale solar photovoltaic , Alabama ,2016,9,0.0441, Alabama 20169
Net generation small-scale solar photovoltaic , Alabama ,2016,8,0.04971, Alabama 20168
Net generation small-scale solar photovoltaic , Alabama ,2016,7,0.04935, Alabama 20167
Net generation small-scale solar photovoltaic , Alabama ,2016,6,0.0484, Alabama 20166
Net generation small-scale solar photovoltaic , Alabama ,2016,5,0.05024, Alabama 20165
Net generation small-scale solar photovoltaic , Alabama ,2016,4,0.04647, Alabama 20164
Net generation small-scale solar photovoltaic , Alabama ,2016,3,0.04135, Alabama 20163
Net generation small-scale solar photovoltaic , Alabama ,2016,2,0.03274, Alabama 20162
Net generation small-scale solar photovoltaic , Alabama ,2016,1,0.03031, Alabama 20161
Net generation small-scale solar photovoltaic , Alabama ,2015,12,0.03138, Alabama 201512
Net generation small-scale solar photovoltaic , Alabama ,2015,11,0.0333, Alabama 201511
Net generation small-scale solar photovoltaic , Alabama ,2015,10,0.0382, Alabama 201510
Net generation small-scale solar photovoltaic , Alabama ,2015,9,0.03918, Alabama 20159
Net generation small-scale solar photovoltaic , Alabama ,2015,8,0.04504, Alabama 20158
Net generation small-scale solar photovoltaic , Alabama ,2015,7,0.04249, Alabama 20157
Net generation small-scale solar photovoltaic , Alabama ,2015,6,0.0458, Alabama 20156
Net generation small-scale solar photovoltaic , Alabama ,2015,5,0.04757, Alabama 20155
Net generation small-scale solar photovoltaic , Alabama ,2015,4,0.04441, Alabama 20154
Net generation small-scale solar photovoltaic , Alabama ,2015,3,0.04005, Alabama 20153
Net generation small-scale solar photovoltaic , Alabama ,2015,2,0.03149, Alabama 20152
Net generation small-scale solar photovoltaic , Alabama ,2015,1,0.03, Alabama 20151
Net generation small-scale solar photovoltaic , Alabama ,2014,12,0.0286, Alabama 201412
Net generation small-scale solar photovoltaic , Alabama ,2014,11,0.03225, Alabama 201411
Net generation small-scale solar photovoltaic , Alabama ,2014,10,0.03699, Alabama 201410
Net generation small-scale solar photovoltaic , Alabama ,2014,9,0.0361, Alabama 20149
Net generation small-scale solar photovoltaic , Alabama ,2014,8,0.04107, Alabama 20148
Net generation small-scale solar photovoltaic , Alabama ,2014,7,0.04234, Alabama 20147
Net generation small-scale solar photovoltaic , Alabama ,2014,6,0.03953, Alabama 20146
Net generation small-scale solar photovoltaic , Alabama ,2014,5,0.04114, Alabama 20145
