Category,State,Year,Month,Value(thousand megawatthours),state_year_month
Net generation wind , Alaska ,2017,7,0, Alaska 20177
Net generation wind , Alaska ,2017,6,13.01162, Alaska 20176
Net generation wind , Alaska ,2017,5,13.27443, Alaska 20175
Net generation wind , Alaska ,2017,4,16.05426, Alaska 20174
Net generation wind , Alaska ,2017,3,15.83815, Alaska 20173
Net generation wind , Alaska ,2017,2,0, Alaska 20172
Net generation wind , Alaska ,2017,1,0, Alaska 20171
Net generation wind , Alaska ,2016,12,17.7932, Alaska 201612
Net generation wind , Alaska ,2016,11,14.91559, Alaska 201611
Net generation wind , Alaska ,2016,10,13.83875, Alaska 201610
Net generation wind , Alaska ,2016,9,11.69727, Alaska 20169
Net generation wind , Alaska ,2016,8,8.40457, Alaska 20168
Net generation wind , Alaska ,2016,7,0, Alaska 20167
Net generation wind , Alaska ,2016,6,11.86383, Alaska 20166
Net generation wind , Alaska ,2016,5,12.6983, Alaska 20165
Net generation wind , Alaska ,2016,4,15.91816, Alaska 20164
Net generation wind , Alaska ,2016,3,15.75672, Alaska 20163
Net generation wind , Alaska ,2016,2,15.66424, Alaska 20162
Net generation wind , Alaska ,2016,1,15.10739, Alaska 20161
Net generation wind , Alaska ,2015,12,16.23006, Alaska 201512
Net generation wind , Alaska ,2015,11,18.43651, Alaska 201511
Net generation wind , Alaska ,2015,10,10.48074, Alaska 201510
Net generation wind , Alaska ,2015,9,14.32482, Alaska 20159
Net generation wind , Alaska ,2015,8,11.6432, Alaska 20158
Net generation wind , Alaska ,2015,7,13.32097, Alaska 20157
Net generation wind , Alaska ,2015,6,13.09057, Alaska 20156
Net generation wind , Alaska ,2015,5,17.08183, Alaska 20155
Net generation wind , Alaska ,2015,4,19.18777, Alaska 20154
Net generation wind , Alaska ,2015,3,11.07535, Alaska 20153
Net generation wind , Alaska ,2015,2,9.88483, Alaska 20152
Net generation wind , Alaska ,2015,1,4.93735, Alaska 20151
Net generation wind , Alaska ,2014,12,11.537, Alaska 201412
Net generation wind , Alaska ,2014,11,12.90254, Alaska 201411
Net generation wind , Alaska ,2014,10,13.70742, Alaska 201410
Net generation wind , Alaska ,2014,9,9.0683, Alaska 20149
Net generation wind , Alaska ,2014,8,15.70777, Alaska 20148
Net generation wind , Alaska ,2014,7,19.35414, Alaska 20147
