State,Year,Month,Net generation other renewables (total)  (thousand megawatthours),Average retail price of electricity (cents per KWH),Retail sales of electricity (million kilowatthours),Revenue from retail sales of electricity total(million dollars),Revenue from retail sales of electricity residential (million dollars),Total consumption coal (thousand tons),Total consumption petroleum liquid (thousand barrels),Total consumption  natural gas (thousand Mcf),unqid
Alabama,2017,7,303.5966,12.53,3429.51828,878.76993,429.58206,1858.693,3.938,42893.952,2017_7_Alabama
Alabama,2017,6,279.92249,12.79,2727.88024,766.67053,348.87341,1489.063,2.741,33357.656,2017_6_Alabama
Alabama,2017,5,274.68961,12.73,2262.40423,681.01506,287.89061,1310.503,4.459,30762.064,2017_5_Alabama
Alabama,2017,4,268.04368,12.71,2044.88955,623.23465,259.84629,1130.11,3.524,29599.447,2017_4_Alabama
Alabama,2017,3,272.50137,12.82,2127.99069,643.88836,272.88091,1271.181,5.062,30229.111,2017_3_Alabama
Alabama,2017,2,270.40119,12.97,2061.37047,605.89544,267.28798,1295.306,2.8,22970.336,2017_2_Alabama
Alabama,2017,1,283.71386,12.11,2694.50307,689.47008,326.3198,1336.762,11.714,25495.524,2017_1_Alabama
Alabama,2016,12,284.72242,12,2589.1788,684.63402,310.69822,1468.822,5.931,30858.987,2016_12_Alabama
Alabama,2016,11,290.49955,12.29,1970.52732,591.91583,242.26081,1389.218,2.567,30499.759,2016_11_Alabama
Alabama,2016,10,248.39522,12.56,2276.77763,673.45096,285.93293,1579.623,2.835,31961.939,2016_10_Alabama
Alabama,2016,9,276.00008,12.27,3187.5747,806.47934,391.07481,1744.497,2.724,40587.444,2016_9_Alabama
Alabama,2016,8,286.72079,12.22,3584.66267,884.61376,438.054,1919.124,2.458,43504.916,2016_8_Alabama
Alabama,2016,7,287.10998,12.08,3655.77279,884.35216,441.69067,1914.584,2.945,44566.291,2016_7_Alabama
Alabama,2016,6,284.42962,12.16,3013.83058,787.71612,366.40082,1589.791,4.917,39282.408,2016_6_Alabama
Alabama,2016,5,275.24383,12.1,2210.0438,642.76974,267.36429,1214.715,4.35,33335.257,2016_5_Alabama
Alabama,2016,4,241.14562,12.42,1855.04946,572.75007,230.35931,964.637,0.679,26636.009,2016_4_Alabama
Alabama,2016,3,279.45322,12.11,2098.02465,585.36658,254.15196,1218.694,9.053,30763.747,2016_3_Alabama
Alabama,2016,2,262.98909,11.5,2652.92965,628.02937,305.10542,1180.254,5.257,29216.353,2016_2_Alabama
Alabama,2016,1,272.69653,11.04,3094.62597,687.31715,341.73448,1275.475,19.688,33948.682,2016_1_Alabama
Alabama,2015,12,289.87542,11.16,2275.02057,578.41295,253.95144,1322.359,13.66,33320.462,2015_12_Alabama
Alabama,2015,11,272.7529,11.39,1962.75419,546.40601,223.49795,1390.714,7.636,31415.014,2015_11_Alabama
Alabama,2015,10,268.64759,11.92,2040.50984,601.68413,243.2563,1583.219,3.434,31618.026,2015_10_Alabama
Alabama,2015,9,250.97885,12.22,2730.06018,749.42108,333.71765,2058.92,5.22,33205.973,2015_9_Alabama
Alabama,2015,8,289.48397,11.97,3412.66712,859.08913,408.65697,2257.715,6.411,37362.292,2015_8_Alabama
Alabama,2015,7,291.18905,11.83,3568.23681,883.14036,422.06708,2442.855,6.887,39112.83,2015_7_Alabama
Alabama,2015,6,257.67445,11.94,2984.81702,795.57473,356.30629,2214.484,7.642,36718.428,2015_6_Alabama
Alabama,2015,5,279.59446,12.12,2239.72635,660.90864,271.38768,1870.443,9.394,32390.617,2015_5_Alabama
Alabama,2015,4,262.45573,12.22,1866.59674,574.10881,228.17474,1359.936,7.41,24902.333,2015_4_Alabama
Alabama,2015,3,268.72482,11.7,2480.85645,636.1089,290.27006,1391.702,11.242,30383.095,2015_3_Alabama
Alabama,2015,2,263.93388,11.16,3096.88735,692.75712,345.63813,1604.088,19.65,31359.981,2015_2_Alabama
Alabama,2015,1,293.97284,10.92,3250.39739,714.18061,354.90695,1529.016,27.014,35708.548,2015_1_Alabama
Alabama,2014,12,240.04921,11.04,2678.24756,644.49349,295.62464,1697.932,12.083,31210.298,2014_12_Alabama
Alabama,2014,11,204.01869,11.09,2378.4018,609.16298,263.71266,1591.956,11.789,33379.919,2014_11_Alabama
Alabama,2014,10,215.25731,11.74,2134.63476,614.46417,250.61326,1645.091,3.571,30282.165,2014_10_Alabama
Alabama,2014,9,230.01717,11.84,2966.90711,767.82804,351.16342,2016.272,12.774,32492.821,2014_9_Alabama
Alabama,2014,8,239.53263,11.75,3323.20155,844.43941,390.50389,2445.207,5.22,34915.055,2014_8_Alabama
Alabama,2014,7,242.21864,11.84,3221.72756,828.57996,381.47158,2511.169,4.121,30843.23,2014_7_Alabama
Alabama,2014,6,232.58622,11.82,2865.26113,770.92175,338.54202,2278.892,13.694,30018.126,2014_6_Alabama
Alabama,2014,5,257.86582,11.79,2213.04802,643.02726,260.83539,2053.116,7.451,27325.464,2014_5_Alabama
Alabama,2014,4,230.44197,11.75,1940.81213,563.13435,228.01671,1613.847,15.913,18805.21,2014_4_Alabama
Alabama,2014,3,226.77246,11.58,2437.1901,638.93312,282.33574,1680.152,7.98,26747.197,2014_3_Alabama
Alabama,2014,2,214.16286,11.21,2984.36977,672.32434,334.54389,2119.893,13.814,18406.332,2014_2_Alabama
Alabama,2014,1,246.09805,10.69,3785.7965,789.08104,404.55422,2247.78,68.48,31638.824,2014_1_Alabama
Alabama,2013,12,231.97267,10.5,2944.2469,643.29242,309.13775,1958.107,8.76,27437.177,2013_12_Alabama
Alabama,2013,11,228.20154,10.74,2223.08137,566.83841,238.66235,1891.434,6.699,27210.513,2013_11_Alabama
