YEAR,MO,kt_avg,T2M_avg,WS10M_avg,State,kt_max,T2M_max,WS10M_max,kt_min,T2M_min,WS10M_min,unqid
2000,1,0.486666667,7.789946237,3.119516129,Alabama,0.78,20.04,6.01,0.02,0.02,1.06,2000_1_Alabama
2000,1,0.318786484,21.04345172,4.089866406,Alaska,0.68,44.42,18.04,0.12,0,0.38,2000_1_Alaska
2000,1,0.599892473,5.921577061,2.59869773,Arizona,0.79,18.1,6.57,0.15,0,0.67,2000_1_Arizona
2000,1,0.503870968,5.932626728,2.887626728,Arkansas,0.77,18.69,6.17,0.1,0.02,0.82,2000_1_Arkansas
2000,1,0.485065982,6.526253666,2.881510264,California,0.78,22.6,9.28,0.04,0.06,0.71,2000_1_California
2000,1,0.557396313,4.828732719,3.673836406,Colorado,0.8,20.38,8.69,0.18,0.01,0.79,2000_1_Colorado
2000,1,0.485806452,7.940322581,3.569677419,Connecticut,0.79,17.34,6.98,0.12,0.06,1.33,2000_1_Connecticut
2000,1,0.506129032,6.541935484,4.347419355,Delaware,0.72,16.83,8.94,0.17,1,1.49,2000_1_Delaware
2000,1,0.560843672,15.92007444,4.171042184,Florida,0.78,23.22,12.35,0.05,0.92,0.76,2000_1_Florida
2000,1,0.495756824,8.270272953,3.447791563,Georgia,0.8,20.53,9.59,0.02,0.03,0.88,2000_1_Georgia
2000,1,0.481624424,6.53483871,3.326082949,Idaho,0.8,20.55,9.7,0.11,0,0.64,2000_1_Idaho
2000,1,0.47296371,5.186935484,3.858508065,Illinois,0.78,17.14,7.27,0.1,0.01,0.81,2000_1_Illinois
2000,1,0.470035842,5.417526882,3.60311828,Indiana,0.77,16.02,6.8,0.03,0.01,0.91,2000_1_Indiana
2000,1,0.454879032,6.710826613,4.027762097,Iowa,0.75,18.92,7.37,0.11,0.02,0.84,2000_1_Iowa
2000,1,0.532427035,3.221136713,3.599262673,Kansas,0.76,9.92,9.08,0.07,0.02,0.86,2000_1_Kansas
2000,1,0.471193548,5.205387097,3.267935484,Kentucky,0.78,16.49,5.71,0.02,0.02,1.3,2000_1_Kentucky
2000,1,0.494072581,10.49149194,3.053548387,Louisiana,0.77,21.39,5.24,0.08,0.01,1.04,2000_1_Louisiana
2000,1,0.468870968,11.04153226,4.013655914,Maine,0.75,26.22,10.61,0.11,0.04,1.18,2000_1_Maine
2000,1,0.472741935,6.293064516,4.474032258,Maryland,0.74,18.21,10.78,0.09,0.1,1.32,2000_1_Maryland
2000,1,0.492903226,7.886774194,5.29655914,Massachusetts,0.75,19.17,14.88,0.09,0.23,1.55,2000_1_Massachusetts
2000,1,0.443946237,11.30802151,3.287870968,Michigan,0.79,26.62,7.24,0.01,0.01,0.58,2000_1_Michigan
2000,1,0.508315412,14.3572043,3.092317802,Minnesota,0.76,27.99,6.85,0.15,1.76,0.73,2000_1_Minnesota
2000,1,0.490049628,8.368337469,2.96898263,Mississippi,0.79,20.54,5.94,0.06,0.02,1.08,2000_1_Mississippi
2000,1,0.503106961,3.875670628,3.328421053,Missouri,0.78,15.3,6.11,0.08,0,1.51,2000_1_Missouri
2000,1,0.489013648,7.930248139,4.024820099,Montana,0.77,29.08,9.61,0.18,0.01,0.64,2000_1_Montana
2000,1,0.530813464,3.527896213,4.243548387,Nebraska,0.76,13.91,9.73,0.19,0,0.83,2000_1_Nebraska
2000,1,0.520955795,2.437275986,3.332198327,Nevada,0.81,11.24,9.7,0.13,0,0.78,2000_1_Nevada
2000,1,0.469677419,10.30645161,4.009516129,New Hampshire,0.7,24.18,8.25,0.12,0.25,1.35,2000_1_New Hampshire
2000,1,0.488225806,7.299677419,4.197580645,New Jersey,0.79,17.79,9.45,0.07,0.12,1.36,2000_1_New Jersey
2000,1,0.627827957,4.09083871,3.15488172,New Mexico,0.79,13.06,7.66,0.22,0,0.59,2000_1_New Mexico
2000,1,0.467436333,9.757487267,3.514482173,New York,0.78,25.76,8.38,0.06,0.03,1.06,2000_1_New York
2000,1,0.507488479,6.138640553,3.604723502,North Carolina,0.79,20.91,9.4,0.03,0.02,1.15,2000_1_North Carolina
2000,1,0.51487208,13.60657397,4.300389321,North Dakota,0.75,29.4,8.51,0.24,0.58,0.87,2000_1_North Dakota
2000,1,0.480672043,6.058817204,3.884086022,Ohio,0.78,15.62,8.17,0.02,0.03,1.27,2000_1_Ohio
2000,1,0.537943548,4.961370968,2.968891129,Oklahoma,0.75,16.7,6.15,0.1,0.01,1.04,2000_1_Oklahoma
2000,1,0.431231672,2.993147605,4.053773216,Oregon,0.79,10.7,10.58,0.03,0,0.97,2000_1_Oregon
2000,1,0.458475073,7.251260997,3.627507331,Pennsylvania,0.8,18.64,7.63,0.08,0.02,0.95,2000_1_Pennsylvania
2000,1,0.492903226,6.263835125,3.411577061,South Carolina,0.79,19.36,8.17,0.09,0,0.69,2000_1_South Carolina
2000,1,0.515349462,6.882083333,4.16905914,South Dakota,0.77,21.18,8.27,0.18,0.02,1.17,2000_1_South Dakota
2000,1,0.462442396,5.435437788,3.214331797,Tennessee,0.8,17.92,5.94,0.08,0.03,1.47,2000_1_Tennessee
2000,1,0.566313364,9.468230415,3.383884793,Texas,0.78,24.47,10.51,0.03,0.01,0.78,2000_1_Texas
2000,1,0.528359046,3.895469846,3.142538569,Utah,0.8,18.58,9.46,0.16,0.01,0.82,2000_1_Utah
2000,1,0.479596774,11.50403226,3.554919355,Vermont,0.75,26.16,6.36,0.12,0.01,1.47,2000_1_Vermont
2000,1,0.489301075,5.942849462,3.540241935,Virginia,0.79,19.11,10.03,0.11,0.08,1.16,2000_1_Virginia
2000,1,0.440676379,4.330083247,3.266951093,Washington,0.75,18.57,9.89,0.02,0,0.64,2000_1_Washington
2000,1,0.473870968,5.990138249,3.396589862,West Virginia,0.78,14.72,6.07,0.12,0.08,1.43,2000_1_West Virginia
2000,1,0.507334465,11.36780985,3.082308998,Wisconsin,0.78,24.46,6.43,0.05,0.02,0.55,2000_1_Wisconsin
2000,1,0.530184332,5.799746544,4.134239631,Wyoming,0.81,21.03,10.07,0.17,0.02,0.94,2000_1_Wyoming
2000,10,0.639919355,18.85723118,1.961182796,Alabama,0.78,24.1,5.44,0.08,6.23,0.46,2000_10_Alabama
2000,10,0.471274465,7.76422396,3.120739655,Alaska,0.77,26.72,14.26,0.01,0,0.34,2000_10_Alaska
2000,10,0.568148148,13.98696535,2.862879331,Arizona,0.79,28.43,7.6,0.13,2.12,0.67,2000_10_Arizona
2000,10,0.557695853,18.82221198,2.358663594,Arkansas,0.79,26.27,5.42,0.13,4.34,0.5,2000_10_Arkansas
2000,10,0.573064516,14.1141349,2.557749267,California,0.79,26.61,9.98,0.13,1.37,0.53,2000_10_California
2000,10,0.569815668,7.581428571,3.308974654,Colorado,0.81,22.05,7.14,0.07,0.01,1.05,2000_10_Colorado
2000,10,0.481612903,11.43612903,2.906129032,Connecticut,0.72,18.85,5.12,0.05,1.61,1.25,2000_10_Connecticut
2000,10,0.564193548,13.93580645,3.258387097,Delaware,0.74,21.36,6.36,0.14,6.27,0.79,2000_10_Delaware
2000,10,0.595012407,21.64248139,4.330669975,Florida,0.75,26.86,11.78,0.07,10.5,0.72,2000_10_Florida
2000,10,0.653126551,17.75952854,2.317270471,Georgia,0.79,24.88,9.24,0.15,5.97,0.62,2000_10_Georgia
2000,10,0.537534562,4.844746544,2.732546083,Idaho,0.82,15.15,5.73,0.12,0.01,0.81,2000_10_Idaho
2000,10,0.530282258,15.43064516,2.853568548,Illinois,0.77,23.53,5.66,0.05,3.1,0.85,2000_10_Illinois
2000,10,0.546594982,15.31946237,2.601146953,Indiana,0.77,23.32,5.01,0.08,3.55,0.93,2000_10_Indiana
2000,10,0.495020161,13.32215726,3.403205645,Iowa,0.78,22.3,6.96,0.07,0.23,0.81,2000_10_Iowa
2000,10,0.496344086,14.46623656,3.81374808,Kansas,0.79,25.08,7.59,0.04,0.04,0.75,2000_10_Kansas
2000,10,0.577967742,15.68916129,2.379677419,Kentucky,0.77,24.24,4.4,0.12,4.33,0.54,2000_10_Kentucky
2000,10,0.569072581,19.51822581,2.116209677,Louisiana,0.75,25.07,6.42,0.05,8.69,0.53,2000_10_Louisiana
2000,10,0.432123656,7.615268817,3.410403226,Maine,0.73,16.13,8.03,0.04,0.07,0.85,2000_10_Maine
2000,10,0.573387097,14.65516129,3.450322581,Maryland,0.75,22.5,7.73,0.08,5.18,0.58,2000_10_Maryland
2000,10,0.490645161,10.92978495,3.75311828,Massachusetts,0.75,18.57,9.79,0.04,0.08,0.7,2000_10_Massachusetts
2000,10,0.500677419,9.425827957,2.832408602,Michigan,0.78,20.47,5.84,0.04,0.03,0.66,2000_10_Michigan
2000,10,0.482473118,7.304635603,3.039127838,Minnesota,0.78,18.98,6.14,0.09,0.01,0.65,2000_10_Minnesota
2000,10,0.612903226,19.65208437,1.949478908,Mississippi,0.77,25.66,5.4,0.05,7.11,0.52,2000_10_Mississippi
2000,10,0.518098472,16.2096944,2.797164686,Missouri,0.79,24.34,6.51,0.02,1.15,0.72,2000_10_Missouri
2000,10,0.502692308,5.594609181,3.098771712,Montana,0.81,14.4,7.5,0.12,0.01,0.52,2000_10_Montana
2000,10,0.51345021,11.29647966,3.689551192,Nebraska,0.79,22.64,7.24,0.05,0.03,1.1,2000_10_Nebraska
2000,10,0.582532855,8.783799283,2.891780167,Nevada,0.8,21.98,6.47,0.08,0.57,0.52,2000_10_Nevada
2000,10,0.447258065,8.280483871,3.302096774,New Hampshire,0.73,16.44,6.46,0.05,0.46,0.92,2000_10_New Hampshire
2000,10,0.509193548,11.74596774,3.195806452,New Jersey,0.73,19.79,6.73,0.05,0.88,0.77,2000_10_New Jersey
2000,10,0.536301075,10.65843011,3.082376344,New Mexico,0.8,26.56,6.27,0.02,0.01,0.82,2000_10_New Mexico
2000,10,0.457453311,9.002767402,2.959151104,New York,0.76,19.79,5.81,0.03,0.01,0.9,2000_10_New York
2000,10,0.628571429,15.65518433,2.919631336,North Carolina,0.79,24.47,8.63,0.03,4.32,0.83,2000_10_North Carolina
2000,10,0.491423804,7.057997775,3.617374861,North Dakota,0.78,16.36,7.39,0.09,0.06,1.16,2000_10_North Dakota
2000,10,0.531263441,13.24483871,2.685188172,Ohio,0.78,21.71,5.24,0.05,1.92,1.05,2000_10_Ohio
2000,10,0.483366935,17.73092742,3.446935484,Oklahoma,0.78,27.84,7.2,0.03,3.38,0.73,2000_10_Oklahoma
2000,10,0.506568915,8.976373412,2.866246334,Oregon,0.79,18.34,7.93,0.09,0.09,0.89,2000_10_Oregon
2000,10,0.516334311,10.91964809,2.930087977,Pennsylvania,0.77,18.96,5.69,0.03,0.64,0.69,2000_10_Pennsylvania
2000,10,0.648924731,16.05709677,2.428996416,South Carolina,0.8,24.32,7.82,0.09,4.88,0.68,2000_10_South Carolina
2000,10,0.473682796,9.351465054,3.51952957,South Dakota,0.79,19.26,7.4,0.06,0.01,1.03,2000_10_South Dakota
2000,10,0.584585253,16.70025346,2.231382488,Tennessee,0.78,25.42,4.52,0.16,4.02,0.64,2000_10_Tennessee
2000,10,0.447953917,18.50219816,3.527262673,Texas,0.78,28.67,10.6,0.02,0.01,0.66,2000_10_Texas
2000,10,0.540532959,8.427307153,2.96601683,Utah,0.81,18.51,6.63,0.12,0.9,0.9,2000_10_Utah
2000,10,0.405887097,7.559758065,3.14233871,Vermont,0.73,15.89,6.01,0.07,0.01,1.29,2000_10_Vermont
2000,10,0.598682796,14.03478495,2.756666667,Virginia,0.79,24.29,6.26,0.08,3.86,0.47,2000_10_Virginia
2000,10,0.473100937,6.453631634,2.703288241,Washington,0.79,16.06,8.07,0.09,0.03,0.65,2000_10_Washington
2000,10,0.555299539,12.45442396,2.755483871,West Virginia,0.77,19.68,5.02,0.07,2.82,0.99,2000_10_West Virginia
2000,10,0.496943973,9.912648557,2.924108659,Wisconsin,0.77,20.47,5.35,0.07,0.04,0.71,2000_10_Wisconsin
2000,10,0.544631336,5.523986175,3.186105991,Wyoming,0.83,17.13,6.5,0.13,0.01,1.21,2000_10_Wyoming
2000,11,0.458361111,11.2655,2.654388889,Alabama,0.79,23.53,6.05,0.02,0.01,0.57,2000_11_Alabama
2000,11,0.35727315,12.54889338,3.546344557,Alaska,0.7,39.12,14.77,0.1,0,0.37,2000_11_Alaska
2000,11,0.648259259,4.994765432,2.774432099,Arizona,0.81,16.1,5.67,0.13,0.01,0.86,2000_11_Arizona
2000,11,0.457047619,7.809619048,2.784071429,Arkansas,0.78,24,6.18,0.03,0.04,0.72,2000_11_Arkansas
2000,11,0.603977273,7.114393939,2.781659091,California,0.8,24.88,8.14,0.02,0.01,0.82,2000_11_California
2000,11,0.618904762,4.682333333,3.415309524,Colorado,0.82,19.12,9.16,0.13,0.02,0.79,2000_11_Colorado
2000,11,0.487333333,5.152,2.818666667,Connecticut,0.74,12.77,4.54,0.11,0.25,1.28,2000_11_Connecticut
2000,11,0.516333333,6.583333333,3.705,Delaware,0.72,15.19,6.82,0.1,0.18,1.61,2000_11_Delaware
2000,11,0.569820513,18.41125641,3.744948718,Florida,0.79,24.91,9.46,0.04,2.99,0.7,2000_11_Florida
2000,11,0.496076923,12.0685641,2.820589744,Georgia,0.78,23.9,7.35,0.03,0.03,0.86,2000_11_Georgia
2000,11,0.53922619,5.898345238,2.52325,Idaho,0.8,17.94,5.39,0.18,0.02,0.48,2000_11_Idaho
2000,11,0.440416667,4.982229167,3.507895833,Illinois,0.76,22.49,7.89,0.03,0.01,0.93,2000_11_Illinois
2000,11,0.424814815,5.898333333,3.324555556,Indiana,0.75,21.64,7.02,0.08,0.02,1.01,2000_11_Indiana
2000,11,0.4464375,4.836291667,3.819958333,Iowa,0.76,19.41,7.58,0.09,0.01,0.72,2000_11_Iowa
2000,11,0.563825397,3.642349206,3.712873016,Kansas,0.78,18.34,7.75,0.07,0.01,1.15,2000_11_Kansas
2000,11,0.4601,6.928866667,3.088433333,Kentucky,0.77,22.8,6.57,0.09,0.04,1.2,2000_11_Kentucky
