,0
0,"40.1,-124.6"
1,"41.1,-124.6"
2,"42.1,-124.6"
3,"43.1,-124.6"
4,"44.1,-124.6"
5,"45.1,-124.6"
6,"46.1,-124.6"
7,"47.1,-124.6"
8,"48.1,-124.6"
9,"39.1,-123.6"
10,"40.1,-123.6"
11,"41.1,-123.6"
12,"42.1,-123.6"
13,"43.1,-123.6"
14,"44.1,-123.6"
15,"45.1,-123.6"
16,"46.1,-123.6"
17,"47.1,-123.6"
18,"48.1,-123.6"
19,"37.1,-122.6"
20,"38.1,-122.6"
21,"39.1,-122.6"
22,"40.1,-122.6"
23,"41.1,-122.6"
24,"42.1,-122.6"
25,"43.1,-122.6"
26,"44.1,-122.6"
27,"45.1,-122.6"
28,"46.1,-122.6"
29,"47.1,-122.6"
30,"48.1,-122.6"
31,"36.1,-121.6"
32,"37.1,-121.6"
33,"38.1,-121.6"
34,"39.1,-121.6"
35,"40.1,-121.6"
36,"41.1,-121.6"
37,"42.1,-121.6"
38,"43.1,-121.6"
39,"44.1,-121.6"
40,"45.1,-121.6"
41,"46.1,-121.6"
42,"47.1,-121.6"
43,"48.1,-121.6"
44,"35.1,-120.6"
45,"36.1,-120.6"
46,"37.1,-120.6"
47,"38.1,-120.6"
48,"39.1,-120.6"
49,"40.1,-120.6"
50,"41.1,-120.6"
51,"42.1,-120.6"
52,"43.1,-120.6"
53,"44.1,-120.6"
54,"45.1,-120.6"
55,"46.1,-120.6"
56,"47.1,-120.6"
57,"48.1,-120.6"
58,"35.1,-119.6"
59,"36.1,-119.6"
60,"37.1,-119.6"
61,"38.1,-119.6"
62,"39.1,-119.6"
63,"40.1,-119.6"
64,"41.1,-119.6"
65,"42.1,-119.6"
66,"43.1,-119.6"
67,"44.1,-119.6"
68,"45.1,-119.6"
69,"46.1,-119.6"
70,"47.1,-119.6"
71,"48.1,-119.6"
72,"30.1,-118.6"
73,"31.1,-118.6"
74,"32.1,-118.6"
75,"33.1,-118.6"
76,"34.1,-118.6"
77,"35.1,-118.6"
78,"36.1,-118.6"
79,"37.1,-118.6"
80,"38.1,-118.6"
81,"39.1,-118.6"
82,"40.1,-118.6"
83,"41.1,-118.6"
84,"42.1,-118.6"
85,"43.1,-118.6"
86,"44.1,-118.6"
87,"45.1,-118.6"
88,"46.1,-118.6"
89,"47.1,-118.6"
90,"48.1,-118.6"
91,"30.1,-117.6"
92,"31.1,-117.6"
93,"32.1,-117.6"
94,"33.1,-117.6"
