YEAR,MO,DY,avg_kt,T2M,WS10M
1985,01,01,0.64,19.77,2.68
1985,01,02,0.66,18.21,2.74
1985,01,03,0.75,14.45,2.11
1985,01,04,0.61,13.26,1.07
1985,01,05,0.76,14.19,1.36
1985,01,06,0.62,11.57,1.87
1985,01,07,0.35,3.19,3.53
1985,01,08,0.42,1.51,1.92
1985,01,09,0.64,6.17,2.10
1985,01,10,0.71,11.44,2.06
1985,01,11,0.59,13.92,2.23
1985,01,12,0.65,17.34,2.64
1985,01,13,0.68,16.31,2.75
1985,01,14,0.75,16.38,1.05
1985,01,15,0.52,13.39,4.34
1985,01,16,0.73,12.72,3.91
1985,01,17,0.59,10.31,4.93
1985,01,18,0.62,5.51,4.19
1985,01,19,0.72,3.85,4.19
1985,01,20,0.49,7.82,2.59
1985,01,21,0.38,4.49,1.70
1985,01,22,0.67,13.28,2.43
1985,01,23,0.69,18.16,0.74
1985,01,24,0.56,15.61,0.99
1985,01,25,0.68,12.00,1.15
1985,01,26,0.69,8.07,1.40
1985,01,27,0.50,8.19,1.95
1985,01,28,0.45,11.07,2.19
1985,01,29,0.57,10.36,3.61
1985,01,30,0.54,16.62,3.31
1985,01,31,0.51,25.11,1.32
1985,02,01,0.61,27.42,2.53
1985,02,02,0.51,16.66,2.58
1985,02,03,0.52,11.89,2.40
1985,02,04,0.73,17.51,3.29
1985,02,05,0.62,21.28,4.17
1985,02,06,0.69,14.28,3.71
1985,02,07,0.65,11.45,4.28
1985,02,08,0.36,4.76,6.57
1985,02,09,0.59,9.03,1.81
1985,02,10,0.64,16.55,2.93
1985,02,11,0.66,14.28,2.71
1985,02,12,0.36,5.45,3.70
1985,02,13,0.79,11.30,2.25
1985,02,14,0.65,11.60,2.46
1985,02,15,0.71,6.98,3.25
1985,02,16,0.65,8.25,1.80
1985,02,17,0.47,6.06,1.28
1985,02,18,0.69,9.77,1.51
1985,02,19,0.74,6.39,2.06
1985,02,20,0.35,0.50,3.09
1985,02,21,0.71,4.96,3.60
1985,02,22,0.39,6.23,4.65
1985,02,23,0.75,7.83,3.13
1985,02,24,0.51,7.59,3.24
1985,02,25,0.73,7.03,4.06
1985,02,26,0.66,11.37,1.25
1985,02,27,0.67,9.42,1.68
1985,02,28,0.79,11.85,2.33
1985,03,01,0.55,4.19,3.25
1985,03,02,0.51,0.43,4.71
1985,03,03,0.49,6.64,4.08
1985,03,04,0.58,8.75,3.48
1985,03,05,0.56,6.53,4.06
1985,03,06,0.46,5.29,4.49
1985,03,07,0.51,7.93,1.79
1985,03,08,0.67,7.65,1.43
1985,03,09,0.80,2.69,1.86
1985,03,10,0.32,1.24,3.18
1985,03,11,0.60,0.90,3.17
1985,03,12,0.37,1.14,3.44
1985,03,13,0.67,4.82,1.30
1985,03,14,0.74,2.71,2.04
1985,03,15,0.77,0.26,2.28
1985,03,16,0.73,0.34,2.22
1985,03,17,0.54,0.66,1.84
1985,03,18,0.45,0.42,1.19
1985,03,19,0.73,2.76,3.51
1985,03,20,0.74,0.47,2.46
1985,03,21,0.40,1.00,5.38
1985,03,22,0.61,4.70,5.98
1985,03,23,0.63,0.45,4.34
1985,03,24,0.67,4.95,4.82
1985,03,25,0.54,4.49,5.73
1985,03,26,0.64,0.65,4.05
1985,03,27,0.36,1.27,6.90
1985,03,28,0.47,2.49,3.01
1985,03,29,0.48,6.37,5.68
1985,03,30,0.59,6.40,5.03
1985,03,31,0.42,0.14,6.59
1985,04,01,0.58,1.38,3.93
1985,04,02,0.66,4.12,3.20
1985,04,03,0.71,5.56,4.71
1985,04,04,0.42,0.90,6.70
1985,04,05,0.56,2.88,4.76
1985,04,06,0.59,4.65,3.13
1985,04,07,0.64,5.88,1.96
1985,04,08,0.58,8.75,2.46
1985,04,09,0.71,8.31,2.20
1985,04,10,0.73,8.54,1.21
1985,04,11,0.57,11.16,4.15
1985,04,12,0.70,7.80,3.11
1985,04,13,0.75,7.41,1.87
1985,04,14,0.71,9.42,1.26
1985,04,15,0.64,13.04,2.35
1985,04,16,0.57,13.40,4.69
1985,04,17,0.45,13.43,5.18
1985,04,18,0.56,11.10,2.82
1985,04,19,0.19,6.50,5.53
1985,04,20,0.45,1.76,4.61
1985,04,21,0.48,2.63,3.63
1985,04,22,0.41,0.98,4.72
1985,04,23,0.56,4.11,4.53
1985,04,24,0.77,2.19,3.58
1985,04,25,0.33,2.34,3.50
1985,04,26,0.48,0.62,5.61
1985,04,27,0.57,5.02,1.29
1985,04,28,0.62,9.05,1.36
1985,04,29,0.69,12.32,3.91
1985,04,30,0.52,12.90,1.29
1985,05,01,0.65,15.11,1.54
1985,05,02,0.56,16.34,3.46
1985,05,03,0.43,16.43,5.46
1985,05,04,0.75,11.21,3.79
1985,05,05,0.76,9.30,2.18
1985,05,06,0.46,12.32,2.15
1985,05,07,0.70,13.76,3.53
1985,05,08,0.69,13.94,4.50
1985,05,09,0.34,12.23,3.99
1985,05,10,0.23,9.13,5.00
1985,05,11,0.42,4.76,4.99
1985,05,12,0.53,4.07,3.37
1985,05,13,0.67,3.51,3.42
1985,05,14,0.69,8.11,2.47
1985,05,15,0.53,12.29,4.51
1985,05,16,0.46,12.55,2.93
1985,05,17,0.65,12.16,2.40
1985,05,18,0.64,13.37,3.95
1985,05,19,0.43,12.45,2.44
1985,05,20,0.43,11.42,1.24
1985,05,21,0.37,11.56,1.32
1985,05,22,0.54,12.14,2.93
1985,05,23,0.47,12.37,1.45
1985,05,24,0.49,15.23,1.93
1985,05,25,0.49,17.48,3.20
1985,05,26,0.64,16.35,4.29
1985,05,27,0.72,15.57,5.03
1985,05,28,0.77,15.03,4.95
1985,05,29,0.66,13.75,6.50
1985,05,30,0.69,7.06,4.84
1985,05,31,0.30,11.30,3.64
1985,06,01,0.53,12.71,4.33
1985,06,02,0.46,12.38,2.24
1985,06,03,0.48,15.63,2.27
1985,06,04,0.59,15.82,2.68
1985,06,05,0.52,17.56,2.97
1985,06,06,0.55,19.50,3.71
1985,06,07,0.74,23.32,3.85
1985,06,08,0.72,21.83,3.64
1985,06,09,0.72,20.54,3.48
1985,06,10,0.72,17.11,3.48
1985,06,11,0.77,16.56,2.47
1985,06,12,0.74,19.41,2.75
1985,06,13,0.75,20.60,3.49
1985,06,14,0.73,19.50,3.41
1985,06,15,0.78,20.73,3.75
1985,06,16,0.77,21.33,3.80
1985,06,17,0.80,20.20,3.24
1985,06,18,0.71,20.12,3.31
1985,06,19,0.78,21.66,2.76
1985,06,20,0.65,23.03,4.15
1985,06,21,0.78,18.46,2.74
1985,06,22,0.81,19.28,2.71
1985,06,23,0.68,23.56,3.95
1985,06,24,0.36,21.90,5.20
1985,06,25,0.29,11.80,3.62
1985,06,26,0.66,9.33,2.76
1985,06,27,0.77,13.62,1.38
1985,06,28,0.67,19.39,3.31
1985,06,29,0.59,20.77,3.27
1985,06,30,0.57,20.56,1.64
1985,07,01,0.67,21.63,1.24
1985,07,02,0.72,23.10,1.59
1985,07,03,0.82,23.78,2.56
1985,07,04,0.68,24.98,2.83
1985,07,05,0.73,24.94,2.52
1985,07,06,0.57,25.30,1.82
1985,07,07,0.59,25.48,3.19
1985,07,08,0.50,25.09,2.41
1985,07,09,0.71,25.54,2.15
1985,07,10,0.59,25.45,0.86
1985,07,11,0.54,25.74,2.45
1985,07,12,0.58,21.57,2.39
1985,07,13,0.61,21.09,1.81
1985,07,14,0.64,22.27,2.09
