26.1,-98.6_Unnamed Road, Tamaulipas, Mexico
26.1,-97.6_US-77 BUS, San Benito, TX 78586, USA
26.1,-81.6_Triple G, Naples, FL 34117, USA
26.1,-80.6_I-75, Florida, USA
27.1,-99.6_Unnamed Road, Tamaulipas, Mexico
27.1,-98.6_Santa Rita Camp Rd, Hebbronville, TX 78361, USA
27.1,-97.6_Unnamed Road, Sarita, TX 78385, USA
27.1,-82.6_3905 Casey Key Rd, Nokomis, FL 34275, USA
27.1,-81.6_16635 Old Pine Rd SE, Arcadia, FL 34266, USA
27.1,-80.6_8750 SW Moss Ave, Indiantown, FL 34956, USA
28.1,-99.6_Galvan Ranch Main Rd, Encinal, TX 78019, USA
28.1,-98.6_TX-16, Tilden, TX 78072, USA
28.1,-97.6_15853 FM3089, Sinton, TX 78387, USA
28.1,-82.6_15900-16098 Northlake Village Dr, Odessa, FL 33556, USA
28.1,-81.6_3500 Grace Ave, Haines City, FL 33844, USA
28.1,-80.6_705 S Harbor City Blvd, Melbourne, FL 32901, USA
29.1,-103.6_Unnamed Road, Terlingua, TX 79852, USA
29.1,-102.6_Unnamed Road, La Linda, Coah., Mexico
29.1,-101.6_Unnamed Road, Coahuila de Zaragoza, Mexico
29.1,-100.6_Unnamed Road, Brackettville, TX 78832, USA
29.1,-99.6_Unnamed Road, Uvalde, TX 78801, USA
29.1,-98.6_836-842 Meadows Rd, Poteet, TX 78065, USA
29.1,-97.6_Jaeger Rd, Yorktown, TX 78164, USA
29.1,-96.6_1027 Co Rd 273, Ganado, TX 77962, USA
29.1,-95.6_1151 Mitchell Rd, Brazoria, TX 77422, USA
29.1,-90.6_Chauvin, LA 70344, USA
29.1,-82.6_Goethe Rd, Inglis, FL 34449, USA
29.1,-81.6_51600-51984 Nfs 528, Astor, FL 32102, USA
30.1,-104.6_Unnamed Road, Presidio, TX 79845, USA
30.1,-103.6_TX-118, Alpine, TX 79830, USA
30.1,-102.6_Pierce Rd, Sanderson, TX 79848, USA
30.1,-101.6_Unnamed Road, Langtry, TX 78871, USA
30.1,-100.6_Unnamed Road, Rocksprings, TX 78880, USA
30.1,-99.6_345 B F Klein Ranch Rd SW, Mountain Home, TX 78058, USA
30.1,-98.6_Boggy Creek Rd, Blanco, TX 78606, USA
30.1,-97.6_149 Cielo Vista Dr, Del Valle, TX 78617, USA
30.1,-96.6_8512 Mayer Cemetery Rd, Burton, TX 77835, USA
30.1,-95.6_1005 E Main St, Tomball, TX 77375, USA
30.1,-94.6_Unnamed Road, Devers, TX 77538, USA
30.1,-93.6_Unnamed Road, Vinton, LA 70668, USA
30.1,-92.6_1677 Swift Rd, Morse, LA 70559, USA
30.1,-91.6_Bayou Benoit Levee Rd, St Martinville, LA 70582, USA
30.1,-90.6_4336 W Airline Hwy, Reserve, LA 70084, USA
30.1,-83.6_192 W Walnut St, Perry, FL 32348, USA
30.1,-82.6_402 SE Doe Glen, Lake City, FL 32025, USA
30.1,-81.6_143 Sweetbrier Branch Ln, Jacksonville, FL 32259, USA
31.1,-105.6_Esperanza Rd, Fort Hancock, TX 79839, USA
31.1,-104.6_John Conoly Rd, Van Horn, TX 79855, USA
31.1,-103.6_7400-7494 TX-17, Pecos, TX 79772, USA
31.1,-102.6_Owego Rd, Imperial, TX 79743, USA
31.1,-101.6_Unnamed Road, Big Lake, TX 76932, USA
31.1,-100.6_Unnamed Road, Christoval, TX 76935, USA
31.1,-99.6_Unnamed Road, Brady, TX 76825, USA
31.1,-98.6_Co Rd 428, San Saba, TX 76877, USA
31.1,-97.6_Levy Crossing Rd, Belton, TX 76513, USA
31.1,-96.6_Unnamed Road, Bremond, TX 76629, USA
31.1,-95.6_County Rd 3456, Lovelady, TX 75851, USA
31.1,-94.6_698 David Crain Rd, Huntington, TX 75949, USA
31.1,-93.6_Unnamed Road, Burkeville, TX 75932, USA
31.1,-92.6_LA-112, Forest Hill, LA 71430, USA
31.1,-91.6_1699 Jackson Point Rd, Woodville, MS 39669, USA
